	StationID	StationName	Replicate	Replicate.subset	Type	Region	Fraction	Longitude [degrees_east]	Latitude [degrees_north]	"Bot, Depth [m]"	Depth	Source.Alt	SourceSink.depth	for_ordination
X40	PS99/059-2	HG9	A	1	MESO	WSC	FL	79.134	2.841	5569	1000	MESO	source	MESO
X41	PS99/059-2	HG9	A	1	BATHY	WSC	PA	79.134	2.841	5569	2499	BATHY	sink	BATHY
X42	PS99/059-2	HG9	B	1	EPI	WSC	PA	79.134	2.841	5569	100	EPI	sink	WSC.EPI
X43	PS99/059-2	HG9	B	1	EPI	WSC	FL	79.134	2.841	5569	100	EPI	source	WSC.EPI
X60	PS99/041-1	S3	B	1	BATHY	WSC	PA	78.60733333	5.047333333	2344.3	2338	BATHY	sink	BATHY
X61	PS99/041-1	S3	B	1	MESO	WSC	PA	78.60733333	5.047333333	2344.3	1000	MESO	sink	MESO
X62	PS99/041-1	S3	B	1	MESO	WSC	FL	78.60733333	5.047333333	2344.3	1000	MESO	source	MESO
X63	PS99/041-1	S3	B	1	BATHY	WSC	FL	78.60733333	5.047333333	2344.3	2338	BATHY	source	BATHY
X64	PS99/041-5	S3	A	1	SRF	WSC	PA	78.60733333	5.047333333	2344.3	28	SRF	sink	WSC.SRF
X65	PS99/041-5	S3	A	1	SRF	WSC	FL	78.60733333	5.047333333	2344.3	28	SRF	source	WSC.SRF
X66	PS99/41-9	S3	A	1	Sediment	WSC	PA	78.60733333	5.047333333	2344.3	2344	Sediment	sink	Sediment
X67	PS99/42-12	HG4	A	1	Sediment	WSC	PA	79.0645	4.185	2460.9	2460	Sediment	sink	Sediment
X68	PS99/48-12	EG4	A	1	Sediment	EGC	PA	78.81633333	-2.729	2604.7	2604	Sediment	sink	Sediment
X69	PS99/51-9	EG1	A	1	Sediment	EGC	PA	78.98983333	-5.417833333	1002.2	1002	Sediment	sink	Sediment
X70	PS99/52-3	N4	A	1	Sediment	EGC	PA			2625	2625	Sediment	sink	Sediment
X71	PS99/53-7	N5	A	1	Sediment	EGC	PA	79.92117	3.062	2604.2	2604	Sediment	sink	Sediment
X72	PS99/57-2	HG2	A	1	Sediment	WSC	PA			1540	1540	Sediment	sink	Sediment
